"","measured_percentN","Measured_Chl","measured_SLA","measured_Vmax","Measured_Sucrose","Wave_500","Wave_1600","Wave_2400"
"240",4.11,45.95,NA,36.54,NA,0.062126656,0.284465548,0.088475601
"241",4.5,42.04,NA,29.14,NA,0.051991183,0.270114175,0.079445314
"242",4.09,28.39,NA,NA,NA,0.060953438,0.279082751,0.086040579
"243",3.93,38.26,NA,28.46,NA,0.052217827,0.269653842,0.077650232
"244",4.08,34.81,NA,41.99,NA,0.062086916,0.283401252,0.0874353
"245",1.31,17.83,NA,NA,NA,0.082014907,0.282601099,0.089719712
"246",1.52,14.46,NA,22.91,NA,0.08126987,0.281215382,0.086942202
"247",1.48,11.35,NA,26.57,NA,0.081237858,0.278224211,0.088052998
"248",NA,10.18,NA,13.19,NA,0.074802346,0.267648686,0.07910374
"249",1.26,10.44,NA,9.74,NA,0.084782862,0.27724658,0.087170245
"250",1.54,16.72,NA,15.96,NA,0.076408928,0.282742103,0.087522244
"251",1.51,12.57,NA,25.52,NA,0.083023856,0.283777085,0.093875399
"252",1.15,9.47,NA,10.27,NA,0.082916735,0.284025029,0.087085993
"253",1.38,10.59,NA,NA,NA,0.073039686,0.269881648,0.079691961
"254",1.47,7.73,NA,NA,NA,0.094812976,0.2728613,0.082340239
"255",1.24,9.86,NA,15.37,NA,0.085440911,0.276661625,0.084592901
"256",1.37,10.52,NA,17.15,NA,0.083325981,0.280849777,0.088169387
"257",1.21,12.33,NA,13.57,NA,0.084423813,0.281807173,0.0850729
"258",NA,16.94,NA,18.08,NA,0.079770633,0.282450435,0.089468723
"259",1.52,17.24,NA,NA,NA,0.08310621,0.283277038,0.085871694
"260",1.69,15.71,NA,NA,NA,0.071478197,0.275103893,0.081829195
"261",1.6,12.7,NA,12.6056,NA,0.077416427,0.277685528,0.08777027
"262",1.42,11.94,NA,18.26,NA,0.07897432,0.282524751,0.090982057
"263",1.71,12.01,NA,NA,NA,0.073203997,0.275068528,0.08054374
"264",1.89,9.71,NA,24.34,NA,0.069482212,0.275689283,0.086035761
"265",NA,15.45,NA,21.73,NA,0.079713679,0.284276455,0.089161261
"266",1.52,13.52,NA,NA,NA,0.081565968,0.27866461,0.083850988
"267",1.44,10.05,NA,NA,NA,0.081666412,0.283146212,0.090674219
"268",NA,10.22,NA,NA,NA,0.080712853,0.280879757,0.087117154
"269",2.02,NA,NA,NA,NA,NA,0.290354814,0.088925454
"270",2.38,NA,NA,NA,NA,NA,0.288582859,0.085735326
"271",2.85,NA,NA,NA,NA,NA,0.300462826,0.096018204
"272",3.1,NA,NA,NA,NA,NA,0.302668857,0.109706736
"273",3.31,NA,NA,NA,NA,NA,0.272550906,0.074185798
"274",2.66,NA,NA,NA,NA,NA,0.284228185,0.08212298
"275",3.13,NA,NA,NA,NA,NA,0.281429406,0.076877871
"276",2.47,NA,NA,NA,NA,NA,0.281527433,0.101214459
"277",2.67,NA,NA,NA,NA,NA,0.286432974,0.077984838
"278",3,NA,NA,NA,NA,NA,0.264130275,0.071051339
"279",3.13,NA,NA,NA,NA,NA,0.273966595,0.074804948
"280",2.31,NA,NA,NA,NA,NA,0.285728509,0.073657758
"281",2.54,NA,NA,NA,NA,NA,0.290184577,0.089858875
"282",2.61,NA,NA,NA,NA,NA,0.287165723,0.083605055
"283",2.88,NA,NA,NA,NA,NA,0.275503926,0.090465901
"284",2.96,NA,NA,NA,NA,NA,0.305758967,0.096705507
"285",2.97,NA,NA,NA,NA,NA,0.286136262,0.089211096
"286",3,NA,NA,NA,NA,NA,0.290933182,0.09637048
"287",2.24,NA,NA,NA,NA,NA,0.288445676,0.090246093
"288",2.91,NA,NA,NA,NA,NA,0.280910568,0.089734684
"289",3,NA,NA,NA,NA,NA,0.27436379,0.090375787
"290",3.61,NA,NA,NA,NA,NA,0.284039196,0.092490701
"291",2.8,NA,NA,NA,NA,NA,0.295392186,0.104137581
"292",3.12,NA,NA,NA,NA,NA,0.27782198,0.086681117
"293",2.89,NA,NA,NA,NA,NA,0.294900411,0.096883031
"294",3.08,NA,NA,NA,NA,NA,0.285125253,0.090258105
"295",3.07,NA,NA,NA,NA,NA,0.281906294,0.083833593
"296",2.99,NA,NA,NA,NA,NA,0.292184448,0.097094818
"297",3.12,NA,NA,NA,NA,NA,0.278432686,0.088724287
"298",4.03,NA,NA,NA,NA,NA,0.263818768,0.070680937
"299",4.26,NA,NA,NA,NA,NA,0.251792924,0.070881571
"300",3.82,NA,NA,NA,NA,NA,0.275001907,0.08216312
"301",4.01,NA,NA,NA,NA,NA,0.27231544,0.085598929
"302",4.03,NA,NA,NA,NA,NA,0.27489137,0.081792741
"303",3.91,NA,NA,NA,NA,NA,0.288934031,0.090943013
"304",4.21,NA,NA,NA,NA,NA,0.288455292,0.089917134
"305",NA,NA,28.8778626,13.19,NA,0.05202978,0.254745603,0.073376948
"306",NA,NA,NA,36.23,NA,0.051877443,0.263506395,0.072329334
"307",NA,NA,NA,11.26,NA,0.058325263,0.245947418,0.068014455
"308",NA,NA,NA,35.56,NA,0.053672342,0.263818768,0.070680937
"309",NA,NA,NA,43.06,NA,0.055594873,0.251792924,0.070881571
"310",NA,NA,NA,32.96,NA,0.056892449,0.27231544,0.085598929
"311",NA,NA,NA,31.67,NA,0.059204003,0.27489137,0.081792741
"312",NA,NA,NA,41.7,NA,0.063494226,0.288455292,0.089917134
"313",NA,NA,NA,NA,5.396277943,0.078361833,0.290354814,0.088925454
"314",NA,NA,NA,NA,6.419337313,0.076368317,0.288582859,0.085735326
"315",NA,NA,NA,NA,5.569189386,0.079465296,0.300462826,0.096018204
"316",NA,NA,NA,NA,4.1786932,0.079622289,0.302668857,0.109706736
